seed,case,sample_size,duration
3,"[True, True, False]",1000,4.7859601974487305
3,"[True, True, True]",1000,4.4235734939575195
3,"[False, False, False]",10000,4.6096510887146
3,"[False, False, True]",10000,4.950469017028809
3,"[False, True, False]",10000,8.081196784973145
3,"[False, True, True]",10000,7.394404649734497
3,"[True, False, False]",10000,6.916044235229492
3,"[True, False, True]",10000,6.768168210983276
3,"[True, True, False]",10000,4.119823217391968
3,"[True, True, True]",10000,4.524108171463013
3,"[False, False, False]",100000,9.516874074935913
3,"[False, False, True]",100000,9.041595220565796
3,"[False, True, False]",100000,11.921550989151001
3,"[False, True, True]",100000,13.108887672424316
3,"[True, False, False]",100000,11.464410305023193
3,"[True, False, True]",100000,12.361263751983643
3,"[True, True, False]",100000,8.526427030563354
3,"[True, True, True]",100000,9.102280616760254
4,"[False, False, False]",10,4.202660799026489
4,"[False, False, True]",10,3.1399052143096924
4,"[False, True, False]",10,6.0501017570495605
4,"[False, True, True]",10,5.041417121887207
4,"[True, False, False]",10,5.271931409835815
4,"[True, False, True]",10,5.996795177459717
4,"[True, True, False]",10,3.175283670425415
4,"[True, True, True]",10,4.277730464935303
4,"[False, False, False]",100,4.456602573394775
4,"[False, False, True]",100,4.593669414520264
4,"[False, True, False]",100,6.826343536376953
4,"[False, True, True]",100,6.82839822769165
4,"[True, False, False]",100,6.812556028366089
4,"[True, False, True]",100,6.809579133987427
4,"[True, True, False]",100,4.599467992782593
4,"[True, True, True]",100,4.548897743225098
4,"[False, False, False]",1000,4.497193813323975
4,"[False, False, True]",1000,4.655207633972168
4,"[False, True, False]",1000,6.580272197723389
4,"[False, True, True]",1000,6.933378458023071
4,"[True, False, False]",1000,6.934290885925293
4,"[True, False, True]",1000,6.594533920288086
4,"[True, True, False]",1000,4.710530519485474
4,"[True, True, True]",1000,4.551402807235718
4,"[False, False, False]",10000,4.814329385757446
4,"[False, False, True]",10000,6.082330703735352
4,"[False, True, False]",10000,6.83705472946167
4,"[False, True, True]",10000,7.320034980773926
4,"[True, False, False]",10000,5.129225969314575
4,"[True, False, True]",10000,6.604633092880249
4,"[True, True, False]",10000,4.511743068695068
4,"[True, True, True]",10000,4.4504289627075195
4,"[False, False, False]",100000,8.923238277435303
4,"[False, False, True]",100000,9.06649374961853
4,"[False, True, False]",100000,10.090342283248901
4,"[False, True, True]",100000,11.737811088562012
4,"[True, False, False]",100000,10.92927885055542
4,"[True, False, True]",100000,13.21582579612732
4,"[True, True, False]",100000,7.795341730117798
4,"[True, True, True]",100000,8.592846155166626
5,"[False, False, False]",10,4.157339334487915
5,"[False, False, True]",10,4.005149602890015
5,"[False, True, False]",10,5.0036094188690186
5,"[False, True, True]",10,4.855755805969238
5,"[True, False, False]",10,6.3236939907073975
5,"[True, False, True]",10,4.999788284301758
5,"[True, True, False]",10,4.059117078781128
5,"[True, True, True]",10,3.097951889038086
5,"[False, False, False]",100,4.518784046173096
5,"[False, False, True]",100,5.761628866195679
5,"[False, True, False]",100,6.773766040802002
5,"[False, True, True]",100,6.787855625152588
5,"[True, False, False]",100,6.796018838882446
5,"[True, False, True]",100,6.794024467468262
5,"[True, True, False]",100,4.921433925628662
5,"[True, True, True]",100,4.83185338973999
5,"[False, False, False]",1000,4.538443326950073
5,"[False, False, True]",1000,4.461837291717529
5,"[False, True, False]",1000,6.847785949707031
5,"[False, True, True]",1000,6.66259765625
5,"[True, False, False]",1000,5.079708099365234
5,"[True, False, True]",1000,7.99211311340332
5,"[True, True, False]",1000,3.2203989028930664
5,"[True, True, True]",1000,4.635040283203125
5,"[False, False, False]",10000,5.698166847229004
5,"[False, False, True]",10000,4.496413707733154
5,"[False, True, False]",10000,6.7545599937438965
5,"[False, True, True]",10000,7.37417459487915
5,"[True, False, False]",10000,6.6849589347839355
5,"[True, False, True]",10000,6.843250751495361
5,"[True, True, False]",10000,4.5945212841033936
5,"[True, True, True]",10000,4.502424001693726
5,"[False, False, False]",100000,7.248795032501221
5,"[False, False, True]",100000,9.329060792922974
5,"[False, True, False]",100000,12.596086740493774
5,"[False, True, True]",100000,12.273322582244873
5,"[True, False, False]",100000,8.99678897857666
5,"[True, False, True]",100000,10.817357778549194
5,"[True, True, False]",100000,9.096685886383057
5,"[True, True, True]",100000,6.864806890487671
6,"[False, False, False]",10,4.054870128631592
6,"[False, False, True]",10,4.0216453075408936
6,"[False, True, False]",10,5.0814619064331055
6,"[False, True, True]",10,6.583872318267822
6,"[True, False, False]",10,6.555588722229004
6,"[True, False, True]",10,5.018067836761475
6,"[True, True, False]",10,4.4250733852386475
6,"[True, True, True]",10,4.217149019241333
6,"[False, False, False]",100,6.929190397262573
6,"[False, False, True]",100,4.544054985046387
6,"[False, True, False]",100,7.229151010513306
6,"[False, True, True]",100,7.123018980026245
6,"[True, False, False]",100,6.703033924102783
6,"[True, False, True]",100,6.888660430908203
6,"[True, True, False]",100,4.4905641078948975
6,"[True, True, True]",100,4.566982746124268
6,"[False, False, False]",1000,4.3728837966918945
6,"[False, False, True]",1000,4.734210729598999
6,"[False, True, False]",1000,6.682639122009277
6,"[False, True, True]",1000,6.610236644744873
6,"[True, False, False]",1000,6.703433275222778
6,"[True, False, True]",1000,6.960604429244995
6,"[True, True, False]",1000,4.446972608566284
6,"[True, True, True]",1000,4.793129920959473
6,"[False, False, False]",10000,4.670701265335083
6,"[False, False, True]",10000,5.995280504226685
6,"[False, True, False]",10000,8.0084707736969
6,"[False, True, True]",10000,8.742660284042358
6,"[True, False, False]",10000,6.81068754196167
6,"[True, False, True]",10000,6.497798204421997
6,"[True, True, False]",10000,4.514496564865112
6,"[True, True, True]",10000,4.613171815872192
6,"[False, False, False]",100000,7.288973331451416
6,"[False, False, True]",100000,9.298043012619019
6,"[False, True, False]",100000,17.675047636032104
6,"[False, True, True]",100000,11.923496007919312
6,"[True, False, False]",100000,10.678109169006348
6,"[True, False, True]",100000,11.285210132598877
6,"[True, True, False]",100000,8.491859674453735
6,"[True, True, True]",100000,7.359074354171753
7,"[False, False, False]",10,4.175654649734497
7,"[False, False, True]",10,3.929391622543335
7,"[False, True, False]",10,5.233693599700928
7,"[False, True, True]",10,6.0809221267700195
7,"[True, False, False]",10,5.114814281463623
7,"[True, False, True]",10,6.246856927871704
7,"[True, True, False]",10,3.1517202854156494
7,"[True, True, True]",10,4.243489980697632
7,"[False, False, False]",100,4.632734298706055
7,"[False, False, True]",100,4.591993093490601
7,"[False, True, False]",100,6.738128423690796
7,"[False, True, True]",100,6.808377027511597
7,"[True, False, False]",100,6.775886058807373
7,"[True, False, True]",100,8.422296047210693
7,"[True, True, False]",100,4.515544414520264
7,"[True, True, True]",100,4.513142824172974
7,"[False, False, False]",1000,4.530876398086548
7,"[False, False, True]",1000,4.543518543243408
7,"[False, True, False]",1000,6.762014865875244
7,"[False, True, True]",1000,7.41845703125
7,"[True, False, False]",1000,6.731807470321655
7,"[True, False, True]",1000,6.705462455749512
7,"[True, True, False]",1000,4.706269264221191
7,"[True, True, True]",1000,4.3517844676971436
7,"[False, False, False]",10000,4.625759840011597
7,"[False, False, True]",10000,6.2408154010772705
7,"[False, True, False]",10000,6.749003887176514
7,"[False, True, True]",10000,7.246809244155884
7,"[True, False, False]",10000,6.772975444793701
7,"[True, False, True]",10000,6.8223631381988525
7,"[True, True, False]",10000,4.603846311569214
7,"[True, True, True]",10000,4.520524501800537
7,"[False, False, False]",100000,9.543190956115723
7,"[False, False, True]",100000,9.407483577728271
7,"[False, True, False]",100000,10.844940185546875
7,"[False, True, True]",100000,14.064784526824951
7,"[True, False, False]",100000,11.299559831619263
7,"[True, False, True]",100000,11.150223970413208
7,"[True, True, False]",100000,10.948244571685791
7,"[True, True, True]",100000,7.253353834152222
8,"[False, False, False]",10,3.650677442550659
8,"[False, False, True]",10,4.009917497634888
8,"[False, True, False]",10,5.111598014831543
8,"[False, True, True]",10,6.25041937828064
8,"[True, False, False]",10,5.041856288909912
8,"[True, False, True]",10,6.5208916664123535
8,"[True, True, False]",10,3.004655361175537
8,"[True, True, True]",10,4.035944223403931
8,"[False, False, False]",100,4.63908576965332
8,"[False, False, True]",100,4.50888466835022
8,"[False, True, False]",100,6.788827657699585
8,"[False, True, True]",100,6.772549629211426
8,"[True, False, False]",100,6.7675230503082275
8,"[True, False, True]",100,6.77178955078125
8,"[True, True, False]",100,4.536013126373291
8,"[True, True, True]",100,4.553396463394165
8,"[False, False, False]",1000,4.629071950912476
8,"[False, False, True]",1000,4.3583290576934814
8,"[False, True, False]",1000,6.641089200973511
8,"[False, True, True]",1000,6.820922136306763
8,"[True, False, False]",1000,6.9750659465789795
8,"[True, False, True]",1000,6.80513858795166
8,"[True, True, False]",1000,4.495998859405518
8,"[True, True, True]",1000,4.479732990264893
8,"[False, False, False]",10000,4.684081554412842
8,"[False, False, True]",10000,5.9609215259552
8,"[False, True, False]",10000,7.244433879852295
8,"[False, True, True]",10000,9.290681600570679
8,"[True, False, False]",10000,6.801045894622803
8,"[True, False, True]",10000,6.819016933441162
8,"[True, True, False]",10000,4.521575927734375
8,"[True, True, True]",10000,4.52344822883606
8,"[False, False, False]",100000,14.015258312225342
8,"[False, False, True]",100000,9.10161304473877
8,"[False, True, False]",100000,13.264330387115479
8,"[False, True, True]",100000,15.254281282424927
8,"[True, False, False]",100000,13.499992847442627
8,"[True, False, True]",100000,13.516504526138306
8,"[True, True, False]",100000,9.068845510482788
8,"[True, True, True]",100000,9.044013023376465
9,"[False, False, False]",10,3.048903465270996
9,"[False, False, True]",10,4.216963529586792
9,"[False, True, False]",10,6.703777313232422
9,"[False, True, True]",10,6.746237754821777
9,"[True, False, False]",10,6.840062379837036
9,"[True, False, True]",10,6.468285083770752
9,"[True, True, False]",10,4.526735782623291
9,"[True, True, True]",10,4.285184383392334
9,"[False, False, False]",100,4.533637762069702
9,"[False, False, True]",100,4.515347242355347
9,"[False, True, False]",100,6.874136924743652
9,"[False, True, True]",100,6.775543212890625
9,"[True, False, False]",100,6.766223907470703
9,"[True, False, True]",100,6.828927040100098
9,"[True, True, False]",100,4.513981580734253
9,"[True, True, True]",100,4.524178981781006
9,"[False, False, False]",1000,3.5689218044281006
9,"[False, False, True]",1000,5.462344169616699
9,"[False, True, False]",1000,6.76831841468811
9,"[False, True, True]",1000,7.193325757980347
9,"[True, False, False]",1000,6.7797605991363525
9,"[True, False, True]",1000,6.390223026275635
9,"[True, True, False]",1000,3.3653507232666016
9,"[True, True, True]",1000,5.7114787101745605
9,"[False, False, False]",10000,4.512678384780884
9,"[False, False, True]",10000,5.2138824462890625
9,"[False, True, False]",10000,6.666393756866455
9,"[False, True, True]",10000,6.93730354309082
9,"[True, False, False]",10000,6.812960147857666
9,"[True, False, True]",10000,6.6407225131988525
9,"[True, True, False]",10000,6.553774833679199
9,"[True, True, True]",10000,4.53663969039917
9,"[False, False, False]",100000,18.271530389785767
9,"[False, False, True]",100000,9.231170177459717
9,"[False, True, False]",100000,13.28977918624878
9,"[False, True, True]",100000,13.07226824760437
9,"[True, False, False]",100000,12.056757926940918
9,"[True, False, True]",100000,20.085283756256104
9,"[True, True, False]",100000,7.385245084762573
9,"[True, True, True]",100000,7.1880552768707275
